internship_id,company_id,title,mode,location,required_skills,duration,stipend,responsibilities
83,38,Taxation Intern,Hybrid,Mumbai,Income Tax; GST; Compliance,2 Months,10000 / month,Prepare tax returns; Assist audits; Maintain files
84,1,Supply Chain Intern,Remote,Mumbai,Inventory Management; Excel; Logistics,6 Months,5000 / month,Track inventory; Coordinate vendors; Optimize supply
85,10,Accounting Intern,Hybrid,Mumbai,Tally; Excel; GST Basics,6 Months,10000 / month,Assist in bookkeeping; Prepare vouchers; Support GST filing
86,4,Business Analytics Intern,Remote,Mumbai,SQL; Power BI; Excel; Data Analysis,1 Month,10000 / month,Clean data; Create dashboards; Analyze trends
87,32,Investment Research Intern,Hybrid,Mumbai,Equity Research; Valuation; Financial Modeling,1 Month,3000 / month,Research stocks; Build valuation models; Prepare reports
88,4,Business Analytics Intern,Hybrid,Mumbai,SQL; Power BI; Excel; Data Analysis,3 Months,5000 / month,Clean data; Create dashboards; Analyze trends
89,49,Taxation Intern,On-site,Mumbai,Income Tax; GST; Compliance,6 Months,5000 / month,Prepare tax returns; Assist audits; Maintain files
90,11,Supply Chain Intern,Hybrid,Mumbai,Inventory Management; Excel; Logistics,3 Months,8000 / month,Track inventory; Coordinate vendors; Optimize supply
91,46,Banking Operations Intern,On-site,Mumbai,Banking Operations; Customer Handling,6 Months,8000 / month,Assist branch operations; Handle documentation
92,19,Banking Operations Intern,Hybrid,Mumbai,Banking Operations; Customer Handling,3 Months,Unpaid,Assist branch operations; Handle documentation
93,25,Supply Chain Intern,On-site,Mumbai,Inventory Management; Excel; Logistics,6 Months,8000 / month,Track inventory; Coordinate vendors; Optimize supply
94,49,Marketing Intern,Remote,Mumbai,Digital Marketing; SEO; Content Writing,2 Months,5000 / month,Manage social media; Create content; Assist campaigns
95,32,Finance Intern,On-site,Mumbai,Financial Analysis; Excel; Ratio Analysis,6 Months,10000 / month,Analyze financial data; Prepare reports; Assist budgeting
96,46,Investment Research Intern,On-site,Mumbai,Equity Research; Valuation; Financial Modeling,2 Months,3000 / month,Research stocks; Build valuation models; Prepare reports
97,49,Finance Intern,Hybrid,Mumbai,Financial Analysis; Excel; Ratio Analysis,6 Months,8000 / month,Analyze financial data; Prepare reports; Assist budgeting
